$ psql empty table counts
table_name	row_count
activiteit	0
activiteit__vervangen_vanuit	0
activiteit__voortgezet_vanuit	0
activiteit__voortouwcommissie	0
activiteit_actor	0
activiteit_actor__activiteit	0
activiteit_actor__commissie	0
activiteit_actor__fractie	0
activiteit_actor__persoon	0
agendapunt	0
agendapunt__activiteit	0
besluit	0
besluit__agendapunt	0
besluit__zaak	0
commissie	0
commissie_contactinformatie	0
commissie_contactinformatie__commissie	0
commissie_zetel	0
commissie_zetel__commissie	0
commissie_zetel_vast_persoon	0
commissie_zetel_vast_persoon__commissie_zetel	0
commissie_zetel_vast_persoon__persoon	0
commissie_zetel_vast_vacature	0
commissie_zetel_vast_vacature__commissie_zetel	0
commissie_zetel_vast_vacature__fractie	0
commissie_zetel_vervanger_persoon	0
commissie_zetel_vervanger_persoon__commissie_zetel	0
commissie_zetel_vervanger_persoon__persoon	0
commissie_zetel_vervanger_vacature	0
commissie_zetel_vervanger_vacature__commissie_zetel	0
commissie_zetel_vervanger_vacature__fractie	0
document	0
document__activiteit	0
document__agendapunt	0
document__bron_document	0
document__huidige_document_versie	0
document__kamerstukdossier	0
document__zaak	0
document_actor	0
document_actor__commissie	0
document_actor__document	0
document_actor__fractie	0
document_actor__persoon	0
document_asset	0
document_content	0
document_versie	0
document_versie__document	0
fractie	0
fractie_zetel	0
fractie_zetel__fractie	0
fractie_zetel_persoon	0
fractie_zetel_persoon__fractie_zetel	0
fractie_zetel_persoon__persoon	0
fractie_zetel_vacature	0
fractie_zetel_vacature__fractie_zetel	0
ingest_error	0
kamerstukdossier	0
persoon	0
persoon_contactinformatie	0
persoon_contactinformatie__persoon	0
persoon_geschenk	0
persoon_geschenk__persoon	0
persoon_loopbaan	0
persoon_loopbaan__persoon	0
persoon_nevenfunctie	0
persoon_nevenfunctie__persoon	0
persoon_nevenfunctie_inkomsten	0
persoon_nevenfunctie_inkomsten__persoon_nevenfunctie	0
persoon_onderwijs	0
persoon_onderwijs__persoon	0
persoon_reis	0
persoon_reis__persoon	0
reservering	0
reservering__activiteit	0
reservering__zaal	0
search_index_cursor	0
search_index_failure	0
stemming	0
stemming__besluit	0
stemming__fractie	0
stemming__persoon	0
sync_category	0
sync_entity	0
toezegging	0
toezegging__activiteit	0
toezegging__is_aanvulling_op	0
toezegging__is_herhaling_van	0
toezegging__is_wijziging_van	0
toezegging__kamerbrief_nakoming	0
toezegging__toegezegd_aan	0
toezegging__toegezegd_aan_fractie	0
toezegging__toegezegd_aan_persoon	0
vergadering	0
verslag	0
verslag__vergadering	0
zaak	0
zaak__activiteit	0
zaak__agendapunt	0
zaak__gerelateerd_vanuit	0
zaak__kamerstukdossier	0
zaak__vervangen_vanuit	0
zaak_actor	0
zaak_actor__commissie	0
zaak_actor__fractie	0
zaak_actor__persoon	0
zaak_actor__zaak	0
zaal	0
(107 rows)
